id,first_name,last_name,instagram_current,instagram_found,onlyfans_current,onlyfans_found,twitter_found
1,"Lana","Rhoades","https://instagram.com/lanarhoades","https://www.instagram.com/lanarhoades/?hl=en","https://onlyfans.com/lanarhoades","","https://twitter.com/LanaRhoades/"
2,"Mia","Khalifa","","https://www.instagram.com/miakhalifa/","","https://onlyfans.com/miakhalifa","http://twitter.com/miakhalifa"
3,"Riley","Reid","","","","","https://twitter.com/rileyreidx3"
4,"Mia","Malkova","","","","","https://x.com/Brunavieiraof2"
5,"Angela","White","","Http://Instagram.com/ivethangelx","","","https://twitter.com/angelawhite"
6,"Abella","Danger","","https://www.instagram.com/dangershewrote","","","https://twitter.com/Abella_Danger"
7,"Madison","Ivy","","","","","http://twitter.com/madison420ivy"
8,"Nicole","Aniston","","http://instagram.com/realnicoleaniston","","","http://twitter.com/xNicoleAnistonx"
9,"Brandi","Love","","https://www.instagram.com/lovetroopers","","","http://twitter.com/Brandi_Love"
10,"Alexis","Texas","","http://instagram.com/whitegirlpoliticking","","","https://twitter.com/Alexis_Texas"
11,"Eva","Lovia","","","","","https://twitter.com/fallinlovia"
12,"Dani","Daniels","","http://www.instagram.com/akadanidaniels","","","http://twitter.com/akaDaniDaniels"
13,"Adriana","Chechik","","https://www.instagram.com/officialadrianachechik_/","","","https://twitter.com/adrianachechik"
14,"Asa","Akira","","http://instagram.com/asahole","","","http://twitter.com/AsaAkira"
15,"Lisa","Ann","","http://instagram.com/thereallisaann","","","http://twitter.com/thereallisaann"
16,"Kendra","Lust","","https://www.instagram.com/KendraLust/","","","http://twitter.com/kendralust"
17,"Janice","Griffith","","https://www.instagram.com/rejaniced/?hl=en","","","https://twitter.com/rejaniced"
18,"Emily","Willis","","https://www.instagram.com/emilywillisx3","","","https://twitter.com/emilywillisxoxo"
19,"Gabbie","Carter","","https://www.instagram.com/ailahoverton_/","","","https://twitter.com/imawful69_/"
20,"Autumn","Falls","","https://www.instagram.com/autumnfallsx/","","","https://twitter.com/autumnxxfallsx/"
21,"Elsa","Jean","","https://instagram.com/elsajeansworld","","","https://twitter.com/elsajeanisme"
22,"Lena","Paul","","","","","https://twitter.com/lenaisapeach_"
23,"Valentina","Nappi","","http://instagram.com/instavalentinanappi","","","https://twitter.com/ValeNappi"
24,"Kendra","Sunderland","","","","","https://twitter.com/KSLibraryGirl/"
25,"Peta","Jensen","","","","",""
26,"August","Ames","","https://instagram.com/msmaplefever","","","https://twitter.com/AugustAmesxxx"
27,"Tori","Black","","https://www.instagram.com/toriblackofcl/","","",""
28,"Jessa","Rhodes","","","","","https://twitter.com/missjessarhodes"
29,"Lexi","Belle","","http://instagram.com/omgitslexi","","","http://twitter.com/OMGitsLexi"
30,"Remy","Lacroix","","","","","https://twitter.com/remymeow"
31,"Jynx","Maze","","","","","https://twitter.com/jynxiemazie"
